iter	Passed	Remaining
0	0	70
1	1	63
2	1	59
3	2	55
4	2	56
5	3	56
6	4	56
7	4	57
8	5	57
9	6	57
10	6	56
11	7	56
12	8	55
13	8	55
14	9	54
15	10	53
16	10	52
17	11	51
18	11	51
19	12	50
20	13	49
21	13	48
22	14	48
23	14	47
24	15	46
25	16	46
26	16	45
27	17	44
28	18	44
29	18	43
30	19	43
31	20	42
32	20	42
33	21	41
34	23	43
35	24	43
36	26	44
37	26	43
38	27	43
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	36
48	33	35
49	34	34
50	35	33
51	35	33
52	36	32
53	37	31
54	37	30
55	38	30
56	39	29
57	39	28
58	40	28
59	41	27
60	41	26
61	42	26
62	43	25
63	43	24
64	44	23
65	45	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	49	19
72	49	18
73	51	17
74	51	17
75	52	16
76	53	15
77	53	15
78	54	14
79	54	13
80	55	13
81	56	12
82	56	11
83	57	10
84	58	10
85	58	9
86	59	8
87	60	8
88	61	7
89	61	6
90	62	6
91	62	5
92	63	4
93	64	4
94	64	3
95	65	2
96	65	2
97	66	1
98	67	0
99	67	0
