iter	Passed	Remaining
0	142	142710
1	144	71963
2	145	48362
3	147	36606
4	147	29422
5	148	24613
6	149	21213
7	150	18664
8	151	16656
9	152	15055
10	152	13745
11	153	12653
12	154	11732
13	155	10935
14	155	10242
15	156	9650
16	157	9123
17	158	8662
18	159	8234
19	160	7853
20	160	7503
21	161	7190
22	162	6902
23	163	6649
24	164	6413
25	165	6187
26	165	5977
27	166	5781
28	167	5600
29	168	5435
30	168	5275
31	169	5125
32	170	4994
33	171	4866
34	172	4744
35	173	4635
36	173	4526
37	174	4422
38	175	4322
39	176	4230
40	177	4144
41	178	4065
42	179	3990
43	180	3914
44	180	3838
45	181	3765
46	182	3695
47	182	3627
48	183	3565
49	184	3509
50	185	3453
51	186	3401
52	187	3344
53	187	3292
54	188	3241
55	189	3192
56	190	3147
57	190	3101
58	192	3063
59	192	3020
60	193	2978
61	194	2938
62	194	2899
63	195	2863
64	196	2825
65	197	2789
66	197	2753
67	199	2729
68	200	2702
69	200	2670
70	201	2639
71	202	2608
72	203	2578
73	203	2548
74	204	2520
75	205	2493
76	205	2467
77	206	2442
78	207	2418
79	208	2392
80	208	2367
81	209	2344
82	209	2317
83	210	2294
84	210	2270
85	211	2248
86	212	2227
87	213	2208
88	213	2188
89	214	2171
90	215	2154
91	216	2136
92	217	2119
93	217	2100
94	218	2082
95	219	2064
96	219	2047
97	220	2033
98	221	2017
99	222	2002
100	223	1985
101	223	1969
102	224	1953
103	224	1937
104	225	1922
105	226	1906
106	226	1891
107	227	1877
108	228	1864
109	228	1852
110	229	1841
111	230	1829
112	231	1815
113	231	1802
114	232	1789
115	233	1778
116	233	1764
117	234	1753
118	235	1742
119	236	1732
120	236	1721
121	237	1708
122	238	1698
123	239	1688
124	239	1677
125	240	1667
126	240	1656
127	241	1645
128	242	1635
129	243	1626
130	243	1617
131	244	1607
132	245	1598
133	245	1588
134	246	1578
135	247	1569
136	247	1560
137	248	1550
138	248	1541
139	249	1533
140	250	1524
141	250	1514
142	251	1506
143	251	1497
144	252	1489
145	253	1481
146	253	1472
147	254	1464
148	255	1456
149	255	1449
150	256	1441
151	256	1433
152	257	1425
153	258	1417
154	258	1410
155	259	1403
156	260	1396
157	260	1388
158	261	1382
159	261	1375
160	262	1366
161	263	1360
162	263	1354
163	264	1347
164	264	1340
165	265	1334
166	266	1328
167	266	1321
168	267	1316
169	268	1310
170	269	1304
171	269	1298
172	270	1293
173	271	1287
174	271	1281
175	272	1275
176	273	1269
177	273	1264
178	274	1259
179	275	1254
180	276	1249
181	276	1243
182	277	1237
183	277	1232
184	278	1227
185	279	1221
186	279	1216
187	280	1211
188	281	1207
189	281	1202
190	282	1197
191	283	1192
192	284	1188
193	285	1184
194	285	1179
195	286	1174
196	286	1169
197	287	1164
198	288	1160
199	288	1155
200	289	1151
201	290	1146
202	290	1141
203	291	1137
204	292	1133
205	292	1128
206	293	1124
207	294	1120
208	294	1116
209	295	1112
210	296	1108
211	297	1104
212	297	1100
213	298	1096
214	299	1093
215	300	1089
216	300	1085
217	301	1082
218	302	1078
219	303	1074
220	303	1071
221	304	1067
222	305	1063
223	306	1060
224	306	1057
225	307	1053
226	308	1049
227	308	1045
228	309	1042
229	310	1039
230	311	1035
231	311	1032
232	312	1029
233	314	1029
234	315	1025
235	315	1022
236	317	1020
237	317	1017
238	318	1014
239	319	1011
240	320	1008
241	320	1005
242	321	1001
243	322	997
244	322	994
245	323	991
246	323	987
247	324	983
248	325	980
249	325	977
250	326	974
251	327	971
252	327	967
253	328	964
254	328	961
255	329	958
256	330	954
257	330	951
258	331	948
259	332	945
260	332	942
261	333	939
262	334	936
263	334	932
264	335	929
265	335	926
266	336	923
267	336	920
268	337	917
269	338	914
270	338	911
271	339	908
272	339	905
273	340	902
274	341	899
275	341	896
276	342	893
277	342	890
278	343	887
279	344	884
280	344	881
281	345	878
282	345	876
283	346	873
284	347	870
285	347	868
286	348	866
287	349	863
288	349	860
289	350	858
290	351	855
291	351	853
292	352	850
293	353	847
294	353	845
295	354	842
296	354	839
297	355	837
298	356	834
299	356	832
300	357	829
301	357	827
302	358	824
303	359	822
304	359	819
305	360	817
306	360	814
307	361	812
308	362	809
309	362	807
310	363	804
311	363	802
312	364	800
313	365	797
314	365	795
315	366	792
316	366	790
317	367	788
318	368	785
319	368	783
320	369	781
321	370	779
322	370	776
323	371	774
324	371	772
325	372	770
326	373	767
327	373	765
328	374	763
329	374	761
330	375	758
331	376	756
332	376	754
333	377	752
334	377	749
335	378	747
336	379	745
337	379	743
338	380	741
339	380	739
340	381	737
341	382	734
342	382	732
343	383	730
344	383	728
345	384	726
346	385	724
347	385	722
348	386	720
349	387	718
350	387	716
351	388	714
352	388	712
353	389	710
354	389	708
355	390	707
356	392	706
357	392	704
358	393	702
359	394	700
360	395	699
361	395	697
362	396	696
363	397	694
364	398	692
365	399	691
366	399	689
367	400	688
368	401	686
369	402	684
370	402	682
371	403	681
372	403	679
373	404	677
374	405	675
375	405	673
376	406	671
377	407	669
378	407	668
379	408	666
380	409	664
381	409	662
382	410	661
383	411	659
384	411	657
385	412	656
386	413	654
387	413	652
388	414	650
389	414	648
390	415	647
391	416	645
392	416	643
393	417	642
394	418	640
395	418	638
396	419	637
397	420	635
398	420	633
399	421	632
400	422	630
401	422	629
402	423	627
403	424	626
404	425	624
405	425	622
406	426	621
407	426	619
408	427	617
409	428	616
410	428	614
411	429	612
412	430	611
413	430	609
414	431	608
415	432	606
416	432	604
417	433	603
418	434	601
419	434	600
420	435	598
421	436	597
422	436	596
423	437	594
424	438	593
425	439	592
426	440	590
427	440	589
428	441	587
429	442	585
430	442	584
431	443	583
432	444	581
